sim_time_s,global_tp,global_tn,global_fp,global_fn,accuracy,fpr,mcc,f1_v1,f1_v2,f1_v3,pdr,avg_latency_ms,tm_rate_per_s,tm_delta_pct,broadcast_amplification_gamma,alert_depth_max,eps_topo,flowmod_excess_rate,avg_mitigation_latency_ms,cpu_pct,mem_mb
1.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.0000,1.0000,0,0.0000,0.0000,0.0000,510.9906,141.3516
2.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,500.0000,2.0000,2,0.0000,0.0000,0.0000,523.6685,141.5273
3.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,1380.0000,2.0000,2,0.0000,0.0000,0.0000,519.7495,141.5273
4.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.0000,2180.0000,2.0000,2,0.0000,0.0000,0.0000,515.9981,141.5352
5.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.0000,2980.0000,2.0000,2,0.0000,0.0000,0.0000,514.6647,141.5352
6.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,513.9981,141.5508
7.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,511.4978,141.5508
8.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,509.1086,141.5508
9.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,518.4996,141.5508
10.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,516.7266,141.5508
11.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,514.6657,141.5508
12.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,513.9221,141.5508
13.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,511.9988,141.5508
14.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,510.3320,141.5508
15.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,509.8112,141.5508
16.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,512.8815,141.5508
17.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0000,3180.0000,2.0000,2,0.0000,0.0000,0.0000,511.5546,141.5508
1.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.0000,1.0000,0,0.0000,0.0000,0.0000,509.4891,141.3359
2.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,500.0000,2.0000,2,0.0000,0.0000,0.0000,528.0046,141.5156
3.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,1380.0000,2.0000,2,0.0000,0.0000,0.0000,526.0025,141.5156
4.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.0000,2180.0000,2.0000,2,0.0000,0.0000,0.0000,520.3998,141.5195
5.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.0000,2980.0000,2.0000,2,0.0000,0.0000,0.0000,515.8317,141.5234
6.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,194.0000,3780.0000,2.0000,2,0.0000,0.0000,0.0000,515.5700,141.5312
7.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,234.0000,4580.0000,2.0000,2,0.0000,0.0000,0.0000,513.4982,141.5312
8.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,244.0000,4780.0000,2.0000,2,0.0000,0.0000,0.0000,514.4431,141.5312
9.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,244.0000,4780.0000,2.0000,2,0.0000,0.0000,0.0000,519.3997,141.5312
10.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,244.0000,4780.0000,2.0000,2,0.0000,0.0000,0.0000,518.9997,141.5312
1.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.0000,1.0000,0,0.0000,0.0000,0.0000,506.9867,141.2734
2.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,500.0000,2.0000,2,0.0000,0.0000,0.0000,502.9886,141.4414
3.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,1380.0000,2.0000,2,0.0000,0.0000,0.0000,510.9953,141.4453
4.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.0000,2180.0000,2.0000,2,0.0000,0.0000,0.0000,507.7950,141.4531
5.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.0000,2980.0000,2.0000,2,0.0000,0.0000,0.0000,505.1617,141.4531
6.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,194.0000,3780.0000,2.0000,2,0.0000,0.0000,0.0000,508.7110,141.4609
7.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,234.0000,4580.0000,2.0000,2,0.0000,0.0000,0.0000,506.7466,141.4609
8.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0000,5380.0000,2.0000,2,0.0000,0.0000,0.0000,505.2189,141.4609
9.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,314.0000,6180.0000,2.0000,2,0.0000,0.0000,0.0000,507.1974,141.4609
10.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,324.0000,6380.0000,2.0000,2,0.0000,0.0000,0.0000,509.9981,141.4609
11.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,324.0000,6380.0000,2.0000,2,0.0000,0.0000,0.0000,509.9149,141.4609
12.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,324.0000,6380.0000,2.0000,2,0.0000,0.0000,0.0000,512.7680,141.4609
13.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,324.0000,6380.0000,2.0000,2,0.0000,0.0000,0.0000,511.2844,141.4609
14.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,324.0000,6380.0000,2.0000,2,0.0000,0.0000,0.0000,509.8653,141.4609
15.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,324.0000,6380.0000,2.0000,2,0.0000,0.0000,0.0000,508.4360,141.4609
16.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,324.0000,6380.0000,2.0000,2,0.0000,0.0000,0.0000,509.3516,141.4609
